Corrected core depth (cm),S/Ti,Ti/K,Zr/Fe,Al/Si,Zr/Rb,Si/Ti
65,19918.25297,0.4708121034,9.147518317,0.255116723,0.7884914715,66.5442277
66,19130.69002,0.4465811992,10.20180756,0.265460196,0.8710413815,63.87625558
67,19827.44915,0.4534121247,11.89932364,0.262715662,0.9992504197,64.02133666
68,19272.91562,0.4578389727,13.26473147,0.2632963358,1.046305363,63.80677705
69,19629.72008,0.4402001628,14.97153566,0.2696478564,1.17966956,62.77004807
70,19625.71675,0.4542613906,14.76334731,0.2677815577,1.173050555,62.93431241
71,20351.55669,0.4505244957,14.48782663,0.2674356649,1.140717103,63.85596349
72,19064.32049,0.4470636287,13.23254366,0.2662401895,1.031148542,62.23835911
73,19503.56348,0.4378486725,13.08788029,0.2734216912,1.035148436,60.79794637
74,19658.12658,0.4538918008,13.14804676,0.265954118,1.021457394,62.27740273
75,16557.20392,0.4651119912,3.578167176,0.2462014295,0.316534183,67.83877503
76,20141.79546,0.4222438688,13.3083721,0.2790643043,1.077825358,59.05799509
77,18933.1677,0.4401975453,12.99169287,0.2688400037,1.072632922,60.3354479
78,19425.13845,0.4570326184,12.83905642,0.2625392423,1.031593846,63.08431594
79,19646.8239,0.4406790136,12.50731172,0.2737890981,1.044171204,60.58496385
80,20218.30546,0.455717769,9.877058237,0.2679756496,0.9334475147,62.44647951
81,22344.46717,0.4722386267,6.95561255,0.260443773,,69.32845564
82,22873.38278,0.4723907429,6.766755491,0.2546854751,,70.44841035
83,24154.24038,0.4779489113,6.772949734,0.2575292631,,69.62158337
84,21124.80919,0.465874036,4.307808375,0.2609048283,0.5552308312,66.11103861
85,19823.12384,0.4416951541,4.007988074,0.267205544,0.5007383465,63.31684885
86,24866.72742,0.4657567985,1.906977522,0.2553863076,,68.40511809
87,22358.07309,0.4398584376,2.553600327,0.2651001667,0.3248374826,66.49222088
88,24637.69569,0.4618858299,1.565487479,0.259785122,,69.7689429
89,27587.46764,0.4763419137,1.362779523,0.2598381322,,71.66521173
90,21528.41288,0.4402186096,4.154989183,0.2681989838,0.4880583087,64.64151718
91,24494.27675,0.4612097252,0.9998989908,0.2565718629,0.1455881384,68.56606424
92,22687.22548,0.4709934355,0.790831281,0.254589958,,70.9011944
93,25166.01338,0.4610752078,1.180743415,0.2569726317,0.1833767001,68.32660415
94,23595.73277,0.4664189272,1.439654104,0.2533013126,,70.13686041
95,19222.58936,0.46233212,1.099888643,0.2505406986,0.1215335668,69.05842983
96,22172.92897,0.4556048295,-0.5290655841,0.2522250106,,69.80632277
97,20287.23846,0.4682961234,-1.092841187,0.2521496392,,71.98882045
98,19893.48139,0.461748949,1.86655331,0.2527371259,0.2242664419,70.13183942
99,12442.67352,0.3547002833,13.80377075,0.3134180485,1.117369016,54.51506129
100,15291.16965,0.3796687945,20.11617661,0.2646214147,1.476489933,62.54193396
101,16171.02599,0.4032717664,23.35621234,0.2586508026,1.709236695,63.7708191
102,16483.49024,0.4023829022,22.50785849,0.2577906094,1.711290614,64.72400226
103,17105.09249,0.4115810959,20.85318234,0.2562831738,1.590910981,65.24701511
104,17096.31586,0.3888667466,16.54765856,0.2719333885,1.471990433,64.01341223
105,21086.41782,0.4535648655,2.324822387,0.2558002693,0.2992715601,70.8708622
106,23188.65581,0.4668917548,1.485911488,0.2557673399,,70.47374687
107,22695.1941,,3.571137499,0.2510770262,,72.14500393
108,21337.57474,0.4648994315,2.658680433,0.2544729962,0.3075062425,70.79545836
109,,,1.762747106,,,
110,22610.00428,0.4542274209,1.051003635,0.2596405776,0.1665337071,67.92116101
111,18323.12614,0.4055626615,11.79082182,0.2760999665,1.109298743,57.22556586
112,23662.67549,0.4553330941,1.515599405,0.2617995269,,68.50821603
113,22572.5167,0.4495489204,4.128537236,0.2667506862,0.5214192209,67.73612067
114,14418.90494,0.3642723736,16.60510054,0.3121350104,1.343471153,56.3129702
115,19350.58508,0.4306496638,14.34754301,0.2591365072,1.212344234,67.92419719
116,20190.11503,0.4540922514,7.062487082,0.2591176343,0.7119510712,69.73463094
117,19687.46319,0.4599420606,9.40972617,0.26025136,0.8336519196,66.57927398
118,20396.59196,0.4429262435,8.927958497,0.2695595992,0.8636529353,63.36098326
119,22066.88079,0.4721111842,8.182786021,0.2556517163,0.7185301684,67.3350094
120,24408.05148,0.4780488083,5.090370863,0.2582351052,0.5927235996,68.70617888
121,22001.34591,0.4442708309,18.35948764,0.2631955386,1.599312496,63.20078871
122,26965.90299,,1.930555054,0.2548074702,0.3661349439,70.94953378
123,31714.02088,0.4602804538,1.227374535,0.2622936542,0.2551277702,68.34596344
124,28285.59556,0.4752384681,0.8527174609,0.2537439487,,70.8715123
125,28464.72674,0.4592941877,1.786879791,0.2590253329,0.2929900975,67.34689932
126,24832.82637,0.398671252,6.179998787,0.2805624584,0.8332616566,64.02293988
127,24939.84806,0.3883432521,6.202379713,0.2859937459,0.80539209,63.01655637
128,30066.30308,0.4627096028,0.4142355668,0.2552572286,0.0913973282,70.94892861
129,30125.37,0.4526352507,1.959443707,0.2682051158,0.3017164498,67.15887132
130,27082.89559,,2.093232687,0.2538202773,0.2923423079,71.8716786
131,20620.98778,0.4358700879,7.848105244,0.2708851134,0.8903204004,61.33129961
132,26589.86394,0.4767262444,4.357907008,0.2555370807,,70.19200364
133,25944.82709,,2.104204455,0.2535856769,,72.28060405
134,17723.17777,0.4406472471,14.59331028,0.2653123476,0.9866499907,55.02187553
135,17324.01355,0.3389577892,27.42725569,0.2976612636,1.880853952,55.14703453
136,20855.29091,0.4344182112,24.39312242,0.2594431372,1.922906238,64.77904725
137,19264.5126,0.3761905046,30.63428454,0.2691530057,1.92221212,60.10459228
138,21149.51492,0.4203158721,24.85377099,0.2673135258,1.991310982,63.7963323
139,21379.46688,0.4340346755,22.22021334,0.2589729901,1.948466181,63.13667569
140,26518.40514,0.4741365938,1.655424247,0.2540159774,0.3103994108,71.24037623
141,,,0.6282330719,0.2565124955,,#VALUE!
142,25203.57727,0.4715408998,1.884335375,0.256133487,0.3002697437,68.97027482
143,25331.80724,,1.999940163,0.2565206696,0.3210023444,70.10664084
144,24124.54962,0.4805754673,4.88908218,0.2584076324,0.6096908143,68.30600871
145,26198.75028,0.4816071105,1.181688761,0.2564962852,,70.34671904
